State,Year,Category,E-Waste Generated (Tonnes),E-Waste Collected (Tonnes),Collection Rate (%),Recycled (Tonnes),Recycling Efficiency (%),Hazardous Waste (Tonnes),Region
West Bengal,2018,Television & Monitors,"1,474.80",303.4,0.206,233.5,0.77,248.7,East
West Bengal,2018,Refrigerators & AC,"1,456.20",276.7,0.19,193.4,0.699,262,East
West Bengal,2018,Washing Machines,705.5,146,0.207,95.3,0.653,94.3,East
West Bengal,2018,Printers & Scanners,658.9,137.5,0.209,82.8,0.602,128.3,East
West Bengal,2018,Batteries & Cells,830,176,0.212,136.6,0.776,141.1,East
West Bengal,2018,Lighting Equipment,540,129.7,0.24,80.2,0.618,111.3,East
West Bengal,2019,Computers & Peripherals,"2,173.80",465,0.214,386.1,0.83,448.3,East
West Bengal,2019,Mobile Phones & Tablets,"2,260.40",577.5,0.256,448.9,0.777,365.7,East
West Bengal,2019,Television & Monitors,"1,511.20",323.5,0.214,220.4,0.681,302.4,East
West Bengal,2019,Refrigerators & AC,"1,598.10",439.3,0.275,364.6,0.83,205.9,East
West Bengal,2019,Washing Machines,961.4,221.8,0.231,165.7,0.747,165.7,East
West Bengal,2019,Printers & Scanners,757.6,178.6,0.236,122.3,0.685,116.1,East
West Bengal,2019,Batteries & Cells,919.4,230.6,0.251,144.9,0.628,157.2,East
West Bengal,2019,Lighting Equipment,609.1,145.4,0.239,113.7,0.782,123,East
West Bengal,2020,Computers & Peripherals,"2,579.30",498.8,0.193,317.5,0.637,360.4,East
West Bengal,2020,Mobile Phones & Tablets,"2,233.60",505.7,0.226,386.3,0.764,307.6,East
West Bengal,2020,Television & Monitors,"1,742.10",365.2,0.21,288,0.789,341.4,East
West Bengal,2020,Refrigerators & AC,"1,507.30",356.8,0.237,264.4,0.741,276.6,East
West Bengal,2020,Washing Machines,898.1,209.2,0.233,158.3,0.757,121.3,East
West Bengal,2020,Printers & Scanners,683.9,141.1,0.206,95.3,0.675,100.9,East
West Bengal,2020,Batteries & Cells,876.5,184.5,0.21,125,0.678,144.8,East
West Bengal,2020,Lighting Equipment,487,112.4,0.231,69.6,0.619,100.5,East
West Bengal,2021,Computers & Peripherals,"2,721.90",760.3,0.279,552.6,0.727,452.6,East
West Bengal,2021,Mobile Phones & Tablets,"2,309.70",678.2,0.294,558.8,0.824,381,East
West Bengal,2021,Television & Monitors,"1,837.10",518.6,0.282,352.8,0.68,307.8,East
West Bengal,2021,Refrigerators & AC,"1,462.30",342.9,0.235,214.6,0.626,307,East
West Bengal,2021,Washing Machines,877.7,252.2,0.287,183.1,0.726,120.5,East
West Bengal,2021,Printers & Scanners,749.7,198.6,0.265,141,0.71,129.2,East
West Bengal,2021,Batteries & Cells,942,244.6,0.26,164.1,0.671,151.5,East
West Bengal,2021,Lighting Equipment,547.9,152.3,0.278,121.4,0.797,101.2,East
West Bengal,2022,Computers & Peripherals,"2,325.50",612.8,0.264,471.6,0.77,345.1,East
West Bengal,2022,Mobile Phones & Tablets,"2,486.70",781,0.314,645.6,0.827,515.6,East
West Bengal,2022,Television & Monitors,"1,699.20",522.4,0.307,331.9,0.635,263.3,East
West Bengal,2022,Refrigerators & AC,"1,837.40",584,0.318,407.6,0.698,329.8,East
West Bengal,2022,Washing Machines,"1,043.20",295.1,0.283,204.8,0.694,207.8,East
West Bengal,2022,Printers & Scanners,888.1,280,0.315,226,0.807,172.2,East
West Bengal,2022,Batteries & Cells,"1,109.30",335.4,0.302,255.4,0.761,180.1,East
West Bengal,2022,Lighting Equipment,570.4,164.1,0.288,105.9,0.645,80.7,East
West Bengal,2023,Computers & Peripherals,"2,972.40",976.9,0.329,641.5,0.657,397.6,East
West Bengal,2023,Mobile Phones & Tablets,"2,192.40",798.2,0.364,499.1,0.625,432.1,East
West Bengal,2023,Television & Monitors,"1,977.20",727.6,0.368,443.4,0.609,303.8,East
West Bengal,2023,Refrigerators & AC,"1,817.20",533.3,0.293,370.2,0.694,247.5,East
West Bengal,2023,Washing Machines,"1,053.60",376,0.357,301.7,0.802,143.9,East
West Bengal,2023,Printers & Scanners,841.2,270.2,0.321,207.8,0.769,120.9,East
West Bengal,2023,Batteries & Cells,"1,083.30",334.4,0.309,263.2,0.787,178.6,East
West Bengal,2023,Lighting Equipment,615,191.3,0.311,153.5,0.802,102.6,East
Rajasthan,2018,Computers & Peripherals,"1,663.90",351.5,0.211,294.1,0.837,363.5,North
Rajasthan,2018,Mobile Phones & Tablets,"1,387.10",285.2,0.206,198.3,0.695,239.6,North
Rajasthan,2018,Television & Monitors,"1,167.50",281.3,0.241,225.1,0.8,156.3,North
Rajasthan,2018,Refrigerators & AC,921.2,211.2,0.229,172.9,0.819,161.6,North
Rajasthan,2018,Washing Machines,506.6,123,0.243,100,0.813,75.2,North
Rajasthan,2018,Printers & Scanners,520.9,106.8,0.205,88.3,0.827,70.2,North
Rajasthan,2018,Batteries & Cells,620.5,154.8,0.249,101.5,0.656,102.5,North
Rajasthan,2018,Lighting Equipment,337.4,63.7,0.189,39.1,0.614,57.4,North
Rajasthan,2019,Computers & Peripherals,"1,601.00",459.6,0.287,318.8,0.694,196.6,North
Rajasthan,2019,Mobile Phones & Tablets,"1,714.70",472.3,0.275,360.1,0.762,341.5,North
Rajasthan,2019,Television & Monitors,"1,064.10",249,0.234,201.1,0.808,201.8,North
Rajasthan,2019,Refrigerators & AC,993.5,263.7,0.265,187.8,0.712,119.7,North
Rajasthan,2019,Washing Machines,558.8,129.5,0.232,104.7,0.808,97.7,North
Rajasthan,2019,Printers & Scanners,573.6,144.6,0.252,90.8,0.628,85.4,North
Rajasthan,2019,Batteries & Cells,665.9,143.9,0.216,101.4,0.705,132.8,North
Rajasthan,2019,Lighting Equipment,384.5,84.9,0.221,70.2,0.827,69.1,North
Rajasthan,2020,Computers & Peripherals,"1,483.80",313,0.211,206.7,0.66,199.4,North
Rajasthan,2020,Mobile Phones & Tablets,"1,500.10",325.9,0.217,215.1,0.66,242.5,North
Rajasthan,2020,Television & Monitors,"1,189.60",218.8,0.184,184.6,0.844,150.8,North
Rajasthan,2020,Refrigerators & AC,"1,074.90",226.2,0.21,191.6,0.847,188.6,North
Rajasthan,2020,Washing Machines,594.4,123.7,0.208,93.9,0.759,129.6,North
Rajasthan,2020,Printers & Scanners,502.5,90.2,0.18,71.9,0.797,77.6,North
Rajasthan,2020,Batteries & Cells,725.1,158.1,0.218,125.4,0.793,140.3,North
Rajasthan,2020,Lighting Equipment,366.2,66.4,0.181,48.9,0.736,73.7,North
Rajasthan,2021,Computers & Peripherals,"1,618.70",473.6,0.293,339.2,0.716,306.8,North
Rajasthan,2021,Mobile Phones & Tablets,"1,646.50",486.1,0.295,299.3,0.616,325.4,North
Rajasthan,2021,Television & Monitors,"1,184.80",300.1,0.253,183.3,0.611,165.8,North
Rajasthan,2021,Refrigerators & AC,994.4,303.4,0.305,221.1,0.729,217.7,North
Rajasthan,2021,Washing Machines,645,161.3,0.25,127.2,0.789,89.7,North
Rajasthan,2021,Printers & Scanners,539.4,157.9,0.293,128.9,0.816,82.6,North
Rajasthan,2021,Batteries & Cells,653.5,169.5,0.259,139.4,0.822,127,North
Rajasthan,2021,Lighting Equipment,436.8,113.9,0.261,96.1,0.844,74.1,North
Rajasthan,2022,Computers & Peripherals,"1,816.10",614.2,0.338,448.3,0.73,363.4,North
Rajasthan,2022,Mobile Phones & Tablets,"1,742.00",456.6,0.262,342.7,0.751,352.3,North
Rajasthan,2022,Television & Monitors,"1,252.50",355.6,0.284,220.5,0.62,233.1,North
Rajasthan,2022,Refrigerators & AC,"1,102.70",341,0.309,240.9,0.706,208.4,North
Rajasthan,2022,Washing Machines,637.3,164.9,0.259,134.8,0.817,98.9,North
Rajasthan,2022,Printers & Scanners,647.3,181.1,0.28,153,0.845,139,North
Rajasthan,2022,Batteries & Cells,667.6,208.5,0.312,144,0.691,133.6,North
Rajasthan,2022,Lighting Equipment,430.8,146.8,0.341,93.3,0.636,77.9,North
Rajasthan,2023,Computers & Peripherals,"2,005.60",569.5,0.284,351.3,0.617,396.8,North
Rajasthan,2023,Mobile Phones & Tablets,"1,653.20",526.4,0.318,390.5,0.742,298.4,North
Rajasthan,2023,Television & Monitors,"1,336.10",500.3,0.374,346.7,0.693,262.3,North
Rajasthan,2023,Refrigerators & AC,"1,216.80",405.1,0.333,283.4,0.7,225.1,North
Rajasthan,2023,Washing Machines,642.1,187.3,0.292,146.8,0.784,109.1,North
Rajasthan,2023,Printers & Scanners,581.6,195.5,0.336,130.1,0.665,84.9,North
Rajasthan,2023,Batteries & Cells,758.7,287.7,0.379,193.2,0.672,160.6,North
Rajasthan,2023,Lighting Equipment,426.1,124.7,0.293,101.4,0.813,70.4,North
Andhra Pradesh,2018,Computers & Peripherals,"1,928.40",417.3,0.216,259.5,0.622,362.9,South
Andhra Pradesh,2018,Mobile Phones & Tablets,"1,732.70",360.6,0.208,247.7,0.687,219.2,South
Andhra Pradesh,2018,Television & Monitors,"1,212.10",298,0.246,242.2,0.813,231.7,South
Andhra Pradesh,2018,Refrigerators & AC,"1,234.90",282.9,0.229,225.9,0.799,211,South
Andhra Pradesh,2018,Washing Machines,581.8,116.5,0.2,73.9,0.634,115.8,South
Andhra Pradesh,2018,Printers & Scanners,496.3,111,0.224,76.8,0.692,99.4,South
Andhra Pradesh,2018,Batteries & Cells,728.9,165.7,0.227,103,0.622,110,South
Andhra Pradesh,2018,Lighting Equipment,448,105,0.234,76.8,0.731,88.2,South
Andhra Pradesh,2019,Computers & Peripherals,"2,105.20",459,0.218,387,0.843,387.8,South
Andhra Pradesh,2019,Mobile Phones & Tablets,"1,754.70",462.4,0.264,317.3,0.686,364.6,South
Andhra Pradesh,2019,Television & Monitors,"1,421.60",370.3,0.26,239,0.645,308,South
Andhra Pradesh,2019,Refrigerators & AC,"1,223.10",343.5,0.281,210.9,0.614,162,South
Andhra Pradesh,2019,Washing Machines,651.2,146.4,0.225,99.6,0.68,124.3,South
Andhra Pradesh,2019,Printers & Scanners,598.6,169.4,0.283,139.5,0.823,122.5,South
Andhra Pradesh,2019,Batteries & Cells,751.4,195.5,0.26,144.2,0.738,99.6,South
Andhra Pradesh,2019,Lighting Equipment,423,106.8,0.253,77.5,0.726,57.9,South
Andhra Pradesh,2020,Computers & Peripherals,"2,121.70",399.3,0.188,305.3,0.765,407.5,South
Andhra Pradesh,2020,Mobile Phones & Tablets,"1,788.00",414.1,0.232,306.8,0.741,362.1,South
Andhra Pradesh,2020,Television & Monitors,"1,159.90",210.4,0.181,160,0.76,206.1,South
Andhra Pradesh,2020,Refrigerators & AC,"1,265.10",286.9,0.227,202,0.704,232.7,South
Andhra Pradesh,2020,Washing Machines,697.3,152,0.218,102.2,0.672,150.4,South
Andhra Pradesh,2020,Printers & Scanners,607.9,139.3,0.229,107.4,0.771,91,South
Andhra Pradesh,2020,Batteries & Cells,704.4,128.4,0.182,91.2,0.71,118.6,South
Andhra Pradesh,2020,Lighting Equipment,405,87.8,0.217,59.5,0.678,77.7,South
Andhra Pradesh,2021,Computers & Peripherals,"2,119.20",634.1,0.299,535.1,0.844,282,South
Andhra Pradesh,2021,Mobile Phones & Tablets,"1,767.30",486,0.275,330.4,0.68,294.5,South
Andhra Pradesh,2021,Television & Monitors,"1,291.70",322.4,0.25,201.2,0.624,192.5,South
Andhra Pradesh,2021,Refrigerators & AC,"1,241.30",346.8,0.279,229.6,0.662,256.4,South
Andhra Pradesh,2021,Washing Machines,670,171.5,0.256,127.7,0.745,101.4,South
Andhra Pradesh,2021,Printers & Scanners,678.7,183.2,0.27,133.5,0.729,115.3,South
Andhra Pradesh,2021,Batteries & Cells,783.1,181.2,0.231,151.5,0.836,133.6,South
Andhra Pradesh,2021,Lighting Equipment,507.1,125.2,0.247,86.2,0.688,63.4,South
Andhra Pradesh,2022,Computers & Peripherals,"2,074.30",693.7,0.334,529.7,0.764,346.5,South
Andhra Pradesh,2022,Mobile Phones & Tablets,"1,904.60",630.9,0.331,446.5,0.708,396.6,South
Andhra Pradesh,2022,Television & Monitors,"1,493.30",483.5,0.324,334.3,0.691,239,South
Andhra Pradesh,2022,Refrigerators & AC,"1,343.90",366.2,0.273,270.4,0.738,171.1,South
Andhra Pradesh,2022,Washing Machines,756,244.8,0.324,164,0.67,165.5,South
Andhra Pradesh,2022,Printers & Scanners,689.4,183.2,0.266,154.6,0.844,109.9,South
Andhra Pradesh,2022,Batteries & Cells,909.7,259.7,0.286,216.8,0.835,177.8,South
Andhra Pradesh,2022,Lighting Equipment,437.9,131.7,0.301,95.5,0.725,54.5,South
Andhra Pradesh,2023,Computers & Peripherals,"1,960.20",614.5,0.313,441.5,0.718,324.8,South
Andhra Pradesh,2023,Mobile Phones & Tablets,"2,001.80",663.7,0.332,452.6,0.682,362.9,South
Andhra Pradesh,2023,Television & Monitors,"1,345.40",509.3,0.379,399.7,0.785,201.7,South
Andhra Pradesh,2023,Refrigerators & AC,"1,312.70",475.9,0.363,348.9,0.733,250.6,South
Andhra Pradesh,2023,Washing Machines,743.3,268.5,0.361,185.8,0.692,139.3,South
Andhra Pradesh,2023,Printers & Scanners,761.9,257.7,0.338,206,0.799,146.7,South
Andhra Pradesh,2023,Batteries & Cells,918,259.9,0.283,186.8,0.719,198.9,South
Andhra Pradesh,2023,Lighting Equipment,521.1,186.2,0.357,138.6,0.744,100.1,South
Telangana,2018,Computers & Peripherals,"2,019.70",400.4,0.198,303.2,0.757,367.5,South
Telangana,2018,Mobile Phones & Tablets,"1,947.40",383.2,0.197,295.1,0.77,239.8,South
Telangana,2018,Television & Monitors,"1,495.20",290.4,0.194,175.6,0.605,226.3,South
Telangana,2018,Refrigerators & AC,"1,154.60",268.5,0.233,188.6,0.702,228,South
Telangana,2018,Washing Machines,792.7,193.9,0.245,152,0.784,100.1,South
Telangana,2018,Printers & Scanners,575.3,115.5,0.201,78.7,0.681,107.1,South
Telangana,2018,Batteries & Cells,815,169.3,0.208,108.9,0.643,172.1,South
Telangana,2018,Lighting Equipment,433,91.1,0.21,72.2,0.793,83.2,South
Telangana,2019,Computers & Peripherals,"2,273.40",601.3,0.264,452.5,0.753,316.5,South
Telangana,2019,Mobile Phones & Tablets,"1,876.50",477.3,0.254,313.2,0.656,407.7,South
Telangana,2019,Television & Monitors,"1,425.70",333.9,0.234,217.6,0.652,271.6,South
Telangana,2019,Refrigerators & AC,"1,337.20",319.1,0.239,265.9,0.833,266.8,South
Telangana,2019,Washing Machines,755.7,167.5,0.222,128.8,0.769,119.4,South
Telangana,2019,Printers & Scanners,779.9,213.6,0.274,179.1,0.838,156.3,South
Telangana,2019,Batteries & Cells,853.9,199.9,0.234,155.6,0.778,132,South
Telangana,2019,Lighting Equipment,492.6,114.2,0.232,82.2,0.72,69.1,South
Telangana,2020,Computers & Peripherals,"2,178.20",516.8,0.237,400,0.774,291.3,South
Telangana,2020,Mobile Phones & Tablets,"2,016.50",434.5,0.215,287,0.661,377.1,South
Telangana,2020,Television & Monitors,"1,482.50",324.2,0.219,198.8,0.613,239.2,South
Telangana,2020,Refrigerators & AC,"1,445.00",267.1,0.185,211.7,0.793,174.1,South
Telangana,2020,Washing Machines,794.3,188.3,0.237,132.1,0.702,169.6,South
Telangana,2020,Printers & Scanners,749.1,156.2,0.209,101.5,0.65,162.1,South
Telangana,2020,Batteries & Cells,845,185.2,0.219,153.2,0.827,109,South
Telangana,2020,Lighting Equipment,499.2,105.9,0.212,82.7,0.781,106.7,South
Telangana,2021,Computers & Peripherals,"2,481.10",604.6,0.244,496.1,0.821,341.3,South
Telangana,2021,Mobile Phones & Tablets,"2,258.70",700.8,0.31,490,0.699,382.9,South
Telangana,2021,Television & Monitors,"1,700.30",522.7,0.307,434.6,0.831,353.1,South
Telangana,2021,Refrigerators & AC,"1,267.20",349.1,0.276,218.8,0.627,276.6,South
Telangana,2021,Washing Machines,778.4,241,0.31,177.3,0.736,131.9,South
Telangana,2021,Printers & Scanners,793.8,236.9,0.298,169.9,0.717,110.6,South
Telangana,2021,Batteries & Cells,837.6,203.3,0.243,145.3,0.715,122.1,South
Telangana,2021,Lighting Equipment,474.4,137.2,0.289,109.4,0.797,83.9,South
Telangana,2022,Computers & Peripherals,"2,480.70",671.8,0.271,546.9,0.814,520.2,South
Telangana,2022,Mobile Phones & Tablets,"2,290.70",690.4,0.301,429.2,0.622,428.2,South
Telangana,2022,Television & Monitors,"1,472.50",394.1,0.268,268.3,0.681,213.2,South
Telangana,2022,Refrigerators & AC,"1,401.40",387.1,0.276,305.2,0.788,301.9,South
Telangana,2022,Washing Machines,809.2,259,0.32,156.1,0.603,150,South
Telangana,2022,Printers & Scanners,777.8,202.7,0.261,127.6,0.63,117.2,South
Telangana,2022,Batteries & Cells,934.1,280.4,0.3,231,0.824,177.8,South
Telangana,2022,Lighting Equipment,506.9,134.6,0.266,111.6,0.829,75.8,South
Telangana,2023,Computers & Peripherals,"2,482.10",750.1,0.302,475.1,0.633,335.9,South
Telangana,2023,Mobile Phones & Tablets,"2,326.60",792.1,0.34,557.6,0.704,407,South
Telangana,2023,Television & Monitors,"1,635.50",545.8,0.334,418.1,0.766,232,South
Telangana,2023,Refrigerators & AC,"1,444.00",512.9,0.355,419.7,0.818,185.1,South
Telangana,2023,Washing Machines,867.2,303.7,0.35,188.1,0.619,153,South
Telangana,2023,Printers & Scanners,687.8,230.2,0.335,167.2,0.726,121.9,South
Telangana,2023,Batteries & Cells,905.2,283.3,0.313,206.8,0.73,119.1,South
Telangana,2023,Lighting Equipment,510.2,172.6,0.338,107.5,0.623,87.3,South
Madhya Pradesh,2018,Computers & Peripherals,"1,417.80",307.6,0.217,224,0.728,234.9,Central
Madhya Pradesh,2018,Mobile Phones & Tablets,"1,072.60",233.3,0.218,187,0.802,206.3,Central
Madhya Pradesh,2018,Television & Monitors,877.5,211.4,0.241,166.3,0.787,156,Central
Madhya Pradesh,2018,Refrigerators & AC,748.3,156.9,0.21,96.6,0.616,164.2,Central
Madhya Pradesh,2018,Washing Machines,530.1,101.5,0.192,84.6,0.833,65.3,Central
Madhya Pradesh,2018,Printers & Scanners,410.8,97.7,0.238,77.3,0.791,89.5,Central
Madhya Pradesh,2018,Batteries & Cells,558.9,120,0.215,101.8,0.848,88.4,Central
Madhya Pradesh,2018,Lighting Equipment,326.6,80.6,0.247,55.9,0.694,61.5,Central
Madhya Pradesh,2019,Computers & Peripherals,"1,522.10",385,0.253,293.9,0.763,235.6,Central
Madhya Pradesh,2019,Mobile Phones & Tablets,"1,229.20",310.7,0.253,227.5,0.732,237,Central
Madhya Pradesh,2019,Television & Monitors,932.5,198.4,0.213,120.2,0.606,139.7,Central
Madhya Pradesh,2019,Refrigerators & AC,971.2,246,0.253,180.3,0.733,196.5,Central
Madhya Pradesh,2019,Washing Machines,500.5,119.4,0.238,79.9,0.669,107,Central
Madhya Pradesh,2019,Printers & Scanners,491.4,108.6,0.221,87.1,0.802,79.6,Central
Madhya Pradesh,2019,Batteries & Cells,637.7,177.8,0.279,107.4,0.604,89.7,Central
Madhya Pradesh,2019,Lighting Equipment,301.1,64.7,0.215,48.5,0.75,57.3,Central
Madhya Pradesh,2020,Computers & Peripherals,"1,283.00",288.9,0.225,202.4,0.701,184,Central
Madhya Pradesh,2020,Mobile Phones & Tablets,"1,219.20",284,0.233,174.4,0.614,207.7,Central
Madhya Pradesh,2020,Television & Monitors,931.4,214.1,0.23,167.6,0.783,141.5,Central
Madhya Pradesh,2020,Refrigerators & AC,937.1,207,0.221,140.8,0.68,140.7,Central
Madhya Pradesh,2020,Washing Machines,478.4,105.3,0.22,69,0.655,71.8,Central
Madhya Pradesh,2020,Printers & Scanners,409.6,97.6,0.238,80,0.82,86.5,Central
Madhya Pradesh,2020,Batteries & Cells,606.4,124.6,0.205,90.2,0.724,131.7,Central
Madhya Pradesh,2020,Lighting Equipment,361.7,79.9,0.221,63.6,0.796,54.9,Central
Madhya Pradesh,2021,Computers & Peripherals,"1,474.60",356.2,0.242,247.2,0.694,288.2,Central
Madhya Pradesh,2021,Mobile Phones & Tablets,"1,359.30",405.5,0.298,273.8,0.675,259.3,Central
Madhya Pradesh,2021,Television & Monitors,"1,101.30",334.3,0.304,247.6,0.741,238.7,Central
Madhya Pradesh,2021,Refrigerators & AC,970.8,233.3,0.24,154.1,0.661,136.2,Central
Madhya Pradesh,2021,Washing Machines,566.5,172.3,0.304,139.9,0.812,73.2,Central
Madhya Pradesh,2021,Printers & Scanners,504.6,123.6,0.245,82.5,0.667,94.5,Central
Madhya Pradesh,2021,Batteries & Cells,630.8,189.4,0.3,122.5,0.647,123.7,Central
Madhya Pradesh,2021,Lighting Equipment,360.4,99,0.275,71.3,0.72,74.6,Central
Madhya Pradesh,2022,Computers & Peripherals,"1,495.20",510.1,0.341,308,0.604,319.5,Central
Madhya Pradesh,2022,Mobile Phones & Tablets,"1,573.00",417.7,0.266,355,0.85,264.1,Central
Madhya Pradesh,2022,Television & Monitors,996.4,308.3,0.309,200.7,0.651,210.8,Central
Madhya Pradesh,2022,Refrigerators & AC,"1,003.60",326,0.325,226.6,0.695,174,Central
Madhya Pradesh,2022,Washing Machines,547.3,152.4,0.279,111,0.728,92.9,Central
Madhya Pradesh,2022,Printers & Scanners,447.9,153.8,0.343,110.3,0.717,91.4,Central
Madhya Pradesh,2022,Batteries & Cells,700.6,202,0.288,142.1,0.703,123.5,Central
Madhya Pradesh,2022,Lighting Equipment,330.3,88.6,0.268,58.9,0.665,70.5,Central
Madhya Pradesh,2023,Computers & Peripherals,"1,641.00",528.1,0.322,337,0.638,251.1,Central
Madhya Pradesh,2023,Mobile Phones & Tablets,"1,421.80",516.1,0.363,374.1,0.725,263.7,Central
Madhya Pradesh,2023,Television & Monitors,"1,146.70",350.9,0.306,282.6,0.805,248.4,Central
Madhya Pradesh,2023,Refrigerators & AC,"1,059.70",348.7,0.329,223.9,0.642,211.4,Central
Madhya Pradesh,2023,Washing Machines,539.1,189.7,0.352,137,0.722,114.1,Central
Madhya Pradesh,2023,Printers & Scanners,517.6,178.1,0.344,109.5,0.615,63.9,Central
Madhya Pradesh,2023,Batteries & Cells,713.6,266.9,0.374,204.7,0.767,140.2,Central
Madhya Pradesh,2023,Lighting Equipment,358.3,130.4,0.364,85.8,0.658,68.3,Central
Kerala,2018,Computers & Peripherals,"1,455.60",320.8,0.22,222.4,0.693,264.6,South
Kerala,2018,Mobile Phones & Tablets,"1,560.00",355.2,0.228,256,0.721,263.3,South
Kerala,2018,Television & Monitors,991.8,221.6,0.223,133.6,0.603,171.5,South
Kerala,2018,Refrigerators & AC,993.2,249.8,0.252,151,0.604,199.9,South
Kerala,2018,Washing Machines,625.1,150.2,0.24,124.3,0.828,81.7,South
Kerala,2018,Printers & Scanners,474.1,93.3,0.197,60.5,0.648,81.9,South
Kerala,2018,Batteries & Cells,726.1,148.6,0.205,103.9,0.699,114.2,South
Kerala,2018,Lighting Equipment,366.5,82.2,0.224,69.7,0.848,52.3,South
Kerala,2019,Computers & Peripherals,"1,912.40",528,0.276,403.1,0.763,393.6,South
Kerala,2019,Mobile Phones & Tablets,"1,768.70",388.3,0.22,269.8,0.695,310,South
Kerala,2019,Television & Monitors,"1,115.70",237.9,0.213,152.9,0.643,189.7,South
Kerala,2019,Refrigerators & AC,"1,147.00",311.2,0.271,230.7,0.741,236,South
Kerala,2019,Washing Machines,601.3,151.6,0.252,92.6,0.611,84.9,South
Kerala,2019,Printers & Scanners,634.2,177,0.279,127.2,0.719,79.1,South
Kerala,2019,Batteries & Cells,672.7,189.6,0.282,156.4,0.825,118.6,South
Kerala,2019,Lighting Equipment,369.6,104.3,0.282,70.8,0.679,79.9,South
Kerala,2020,Computers & Peripherals,"1,836.10",414.8,0.226,322.8,0.778,293.5,South
Kerala,2020,Mobile Phones & Tablets,"1,469.00",277.3,0.189,183.1,0.66,298.9,South
Kerala,2020,Television & Monitors,"1,193.60",280.5,0.235,191.6,0.683,233.4,South
Kerala,2020,Refrigerators & AC,"1,045.60",251.8,0.241,196.7,0.781,177.8,South
Kerala,2020,Washing Machines,728.4,132.5,0.182,94,0.709,148.5,South
Kerala,2020,Printers & Scanners,550.4,124.9,0.227,104.8,0.839,87.9,South
Kerala,2020,Batteries & Cells,784.1,141.4,0.18,94.5,0.668,171.9,South
Kerala,2020,Lighting Equipment,407.8,81.9,0.201,68.4,0.835,66.5,South
Kerala,2021,Computers & Peripherals,"1,962.10",555.3,0.283,345.1,0.621,356.8,South
Kerala,2021,Mobile Phones & Tablets,"1,832.30",526.3,0.287,326.6,0.621,248.1,South
Kerala,2021,Television & Monitors,"1,347.70",378.5,0.281,297.1,0.785,204.4,South
Kerala,2021,Refrigerators & AC,"1,084.00",249.2,0.23,168.7,0.677,169.1,South
Kerala,2021,Washing Machines,646.2,155.2,0.24,100.4,0.647,106.5,South
Kerala,2021,Printers & Scanners,606.4,159.2,0.263,96.6,0.607,94.2,South
Kerala,2021,Batteries & Cells,694.3,193,0.278,131.5,0.681,110.1,South
Kerala,2021,Lighting Equipment,406.1,106,0.261,65.8,0.621,85.3,South
Kerala,2022,Computers & Peripherals,"2,136.30",732.8,0.343,544.5,0.743,292.6,South
Kerala,2022,Mobile Phones & Tablets,"1,719.30",459.9,0.267,310.6,0.675,291.1,South
Kerala,2022,Television & Monitors,"1,188.40",349.5,0.294,246.5,0.705,200.2,South
Kerala,2022,Refrigerators & AC,"1,113.20",309.1,0.278,204.5,0.662,203.2,South
Kerala,2022,Washing Machines,723.9,197.3,0.273,123.7,0.627,108.9,South
Kerala,2022,Printers & Scanners,686.2,195.5,0.285,147.6,0.755,137.5,South
Kerala,2022,Batteries & Cells,763.9,217.8,0.285,175.1,0.804,157.3,South
Kerala,2022,Lighting Equipment,492.9,131.7,0.267,89.6,0.68,105.8,South
Kerala,2023,Computers & Peripherals,"1,868.50",582.2,0.312,489.7,0.841,405.2,South
Kerala,2023,Mobile Phones & Tablets,"1,738.40",607.2,0.349,438.9,0.723,308.7,South
Kerala,2023,Television & Monitors,"1,287.70",409.1,0.318,329,0.804,205.1,South
Kerala,2023,Refrigerators & AC,"1,162.30",390.9,0.336,292.4,0.748,202.9,South
Kerala,2023,Washing Machines,763.9,255.9,0.335,214.5,0.838,126.9,South
Kerala,2023,Printers & Scanners,672.5,217.8,0.324,146.5,0.673,127.3,South
Kerala,2023,Batteries & Cells,886.5,318.5,0.359,223.7,0.702,150.6,South
Kerala,2023,Lighting Equipment,472.1,143.7,0.304,109.9,0.765,90.4,South
Punjab,2018,Computers & Peripherals,"1,529.20",293.4,0.192,248.7,0.848,256.8,North
Punjab,2018,Mobile Phones & Tablets,"1,269.10",279.8,0.22,232.3,0.83,240.1,North
Punjab,2018,Television & Monitors,985.2,235.6,0.239,162.5,0.69,206.4,North
Punjab,2018,Refrigerators & AC,918.1,210.4,0.229,130.7,0.621,180.8,North
Punjab,2018,Washing Machines,539.7,113.6,0.21,86.5,0.761,67.2,North
Punjab,2018,Printers & Scanners,507.8,117.7,0.232,82.4,0.7,99.2,North
Punjab,2018,Batteries & Cells,650.4,140.1,0.215,84.4,0.602,94.9,North
Punjab,2018,Lighting Equipment,325.8,72.1,0.221,53.7,0.745,57.8,North
Punjab,2019,Computers & Peripherals,"1,566.60",378.9,0.242,300.5,0.793,280.2,North
Punjab,2019,Mobile Phones & Tablets,"1,443.20",344,0.238,208.5,0.606,188.3,North
Punjab,2019,Television & Monitors,"1,060.40",301.8,0.285,189.8,0.629,227,North
Punjab,2019,Refrigerators & AC,923.2,217.8,0.236,155.5,0.714,129.9,North
Punjab,2019,Washing Machines,574.8,142.7,0.248,101.3,0.71,109,North
Punjab,2019,Printers & Scanners,483.1,113.5,0.235,91.1,0.803,63.5,North
